标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【服装设计】个性创意图形设计——运动时尚品牌,https://task.epwk.com/508095/,5465人,10人,¥500,,shirley女郎,￥ 500,￥ 500,2017.06.08,"我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供五款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 三等奖及以上需要提供源文件（ai）,我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供五款设计，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：1100*27mm。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！** 三等奖及以上需要提供源文件（ai）",任务编号：508095,艾尤设计,王道视觉
,,,,,,,,,,,,,
【LOGO设计】足球基地logo设计,https://task.epwk.com/507563/,3792人,27人,¥500,,小猫漫步cool,￥ 500,￥ 500,2017.06.06,中国·泸西高原足球训练基地-LOGO设计中国·泸西高原足球训练基地位于云南省泸西县，基地海拔1800米，非常适合足球训练；基地是集体育教学、足球训练比赛、体能训练、康复疗养、休闲度假为一体的多功能综合训练基地。规划分为“一心、五区”，即：综合服务中心、教学训练区、比赛训练区、体能训练区、康复疗养区、休闲度假区，主要建设项目包括12块国际标准足球训练场、4个专业训练服务用房、足球会所、运动员公寓及运动员度假村、运动员疗养村、温泉疗养中心、五星级温泉酒店、足球裁判员培训中心、体育媒体中心等。LOGO要求重点体现“高原”和“足球”两个元素主题，高大上，必须原创，要能通过商标注册。有需要了解更多的可以联系我：15126160588,任务编号：507563,逆戟品牌,西米设计工作室
【LOGO设计】白云航空救援logo设计,https://task.epwk.com/507034/,4064人,35人,¥500,,o593426e4221b1,￥ 500,￥ 500,2017.06.04,"航空救援品牌名称是白云航空救援，设计一个图形logo.航空救援就是空中120，是用携带专业医疗设备的直升机现场或转运病人到医院，也包括使用固定翼飞机！知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标威客提供源文件，中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：507034,文顿高端设计,上下品牌策划公司
【广告设计】自动售货机机身贴设计,https://task.epwk.com/506729/,3769人,10人,¥300,,o5931****ecc89,￥ 300,￥ 300,2017.06.02,时尚美观大方，风景，人物，卡通，科技，体育等等都可以，题材不限，图片质量高,任务编号：506729,艾尤设计,元俊设计
【LOGO设计】衔尾蛇logo设计,https://task.epwk.com/505420/,8344人,37人,¥900,,mf134****6665,￥ 900,￥ 900,2017.05.27,湖南轻创科技有限公司，是一家从事科学技术研究的研发型创业公司，公司想要跟换标识，1、主题：衔尾蛇（可以抽象变形）2、要求简要3、不得有文字下面是现在的标识4、不得抄袭5、版权归我公司所有附件是现在在使用的图标。,任务编号：505420,米诺设计,
【LOGO设计】专业音响商标设计，用于注册商标,https://task.epwk.com/505048/,6217人,51人,"¥1,110",,o59257de6e1d7e,￥ 1110,￥ 1110,2017.05.26,使用DGH这三个字母组成一个音响logo，DGH这三个字母进行变形成一个图形，并清晰地看出这个图形是DGH。要求时尚，新颖，并且可以注册的logo。logo代表音响，扬声器的作用。比例为正方形。特别要求：原创图片，一定能注册的商标。,任务编号：505048,飞羽工作室-Q619868368,奇果设计
【卡通形象设计】小爷卡通形象设计需求（餐饮品牌）,https://task.epwk.com/504097/,9507人,39人,"¥2,400",,戴帽子的眼镜,￥ 2400,￥ 2400,2017.05.23,这里需要设计一个品牌的卡通形象，是一人为基础的“爷”的形象，但是不是说卡通形象是一种年纪大的形象，而是说体现一种“爷”的感觉。    然后在人形的基础上，添加一些品牌属性。因为品牌做的是酸汤鱼，所以可以添加鱼的元素，或者是猫的元素，或者两个元素都融合进去。但是本身卡通想象还是以人形为基础。最后卡通形象是先要做成成品玩偶公仔一类的，然后整个形象是有一个基础版本，然后可以在后期自己添加其它属性上去。就是这个卡通形象想设计成平台公仔的属性，能够为后期创作提供多元化。本身卡通形象要有一个基础的版本形象，后期能够在基础上创作成不同的风格。    例子可以参考：拽猫、暴力熊、或者其他潮流型的卡通形象类型。,任务编号：504097,huhuya428,iicyl
【包装设计】药品系列包装风格设计,https://task.epwk.com/504614/,8316人,27人,"¥3,000",,mf189****5217,￥ 3000,￥ 3000,2017.05.25,3000元。药品系列包装风格设计。后续业务合作多品牌商标名称“世医联”系列药品。博性康药膜 功能主治：苗医：蒙凯赊，巢窝糯罗，讲底真利，殃矢迪。中医：清热解毒、燥湿杀虫、祛风止痒。用于带下病（滴虫性阴道炎、霉菌性阴道炎、急、慢性宫颈炎）。 九龙解毒胶囊功能主治：苗医凯阿仰阿模，蒙给恶，俄抡，加嘎农。中医清热解毒，理气止痛。用于痰热雍肺引起的发热，咳嗽，咳吐黄痰，胸痛等症。 冠心膏功能主治：活血化瘀、行气止痛。用于冠心病、心绞痛的预防和治疗。用法用量：外用，贴于膻中、心俞及虚里穴每次任选两穴，各贴一片，隔12～24小时更换。 温胃止痛膏功能主治：本品用于健脾温阳，行气止痛。用于脾胃虚寒所致的胃脘疼痛，腹胀，呃逆嗳气，形寒肢冷的辅助治疗。 气管炎橡胶膏功能主治：温肺化痰、平喘止咳。用于受寒引起的气管炎，并有预防气管炎的作用 设计需求：一个崭新的品牌：希望有统一风格的包装感觉，让人一看就知道是一系列药品，“”家族脸谱“”的感觉，挑选了两个药品与外用贴膏，不求每个产品设计，关键是尽量统一系列的风格定位。 ，可以中英文结合，希望简约、大气、上档次的感觉。,任务编号：504614,cg713的商铺,江夏设计的店铺
【LOGO设计】体育科技品牌logo设计,https://task.epwk.com/500778/,4218人,31人,"¥1,000",,o5915****9d72c,￥ 1000,￥ 1000,2017.05.12,公司名称：好动体育科技有限公司要求：简单大气，能够体现运动感、科技感。,任务编号：500778,与世无争视觉策划,浅贝品牌设计
【LOGO设计】文字LOGO 设计,https://task.epwk.com/498995/,3961人,27人,¥500,,都市领航,￥ 500,￥ 500,2017.05.07,"“亮歌”文字+LOGO设计，要求CRD文件格式，图标含义与音乐艺术有关。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标威客提供源文件，中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：498995,执念设计工作室,米诺设计
【LOGO设计】慈善基金LOGO设计 名字叫心基金,https://task.epwk.com/496920/,4564人,41人,¥800,,mf186****6512,￥ 800,￥ 800,2017.04.30,1.我们的名字“浙江心基金慈善基金会”2.LOGO希望表达“心”，这个心的本质是本自光明、本自具足、含摄万法的3.不需要注册商标4.未来需要VI，现在暂时就做个LOGO5.我们慈善基金的目的是两个：一个是帮助解决大家的心理健康问题，一个是帮助大家的心灵成长-6.刚发给您的图片是我们老板心目中的“心”可加我微信沟通注明威客 电话号码即微信号，正常上班时间不太接电话,任务编号：496920,lee910620,一行人品牌管理
【包装设计】求简约大气抽纸体验装外盒图案设计,https://task.epwk.com/495896/,2821人,10人,¥500,,everimproving,￥ 500,￥ 500,2017.04.26,"产品：一款纯天然竹浆制作，本色不漂白的 竹浆本色抽纸。规格：10抽体验装抽纸客户定位：追求健康，环保生活的中高端消费群体。譬如母婴，白领女性。卖点提炼：1）健康环保。天然竹浆纸，不漂白，不含二恶英，降低白纸巾因为添加漂白成分而诱发的各种过敏症，生殖系统痛痒风险。2）认证严苛。通过严苛的FDA, AP认证，真正的欧美家庭用纸标准，可以吃的竹浆纸。3）价格公道。关注公众号后，首次购买99元，以后重复购买8折，每箱返利19.8元进入个人账户，满50可提现。与超市品牌漂白纸巾价格相近。4）可以赚钱。关注公众号，购买一箱后，即可成为会员，获得自己专属二维码，推荐新朋友扫码首次购买一箱，推荐人可获31.68元，复购推荐人可获3.96元.5）还能领奖。每周完成10箱推荐任务，获得310.68元的现金，还可以额外免费领折叠竹凳，创意竹盘等众多好礼。6）能赚更多。推荐朋友成为习竹地区代理，推荐人可获32%的推荐费作为奖励。体验装包装图案设计初衷：方便推广人员在体验装上贴自己二维码，派送给目标用户体验。包装图案设计要求：1）简约，高端，大气，上档次。符合中高端消费群体品味。2）卖点不用一一列举，甚至不用列举也可以。但是要实现以下效果：如果您的朋友拿着您设计的包装，第一次送了一包纸巾给您，如果您对质量满意，外观展现的部分，要有吸引力，让您自己继续扫码关注，甚至购买。如果连您自己都吸引不了，那就不可以。3）如果不太精通包装设计，设计合乎要求的简约，大气的主图也可入围参选。包装图案设计素材：可以自由发挥，也可以在我们公众号商城内继续搜寻。公众号二维码和产品规格，以及部分素材请参见附件。",任务编号：495896,一休工作室丶为您打造专业的原创设计,虾米设计的店铺
