标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16
【网络接单】扫码注册下载淘新闻+完成小任务，每个3元，另有注册红包,https://task.epwk.com/571053/,1542人,5人,¥660,mf181****4819,￥ 660,￥9,2018.01.07,扫码注册下载淘新闻（二维码在附件），完成小任务后，回到本页面提自己的邀请码步骤说明：1、注册需要填写邀请码：29563439。（重点）2、注册完成后，选择任意10个新闻阅读（阅读时打开新闻，点击查看全文，将文章拉到页面最下方，停留三秒左右，就会跳出阅读奖励10金币，这就表示已完成该条新闻阅读，可继续下一条新闻阅读，阅读10条，示图如下图，显示10/25即表示完成10条阅读）。没有阅读完的ID审核将不能通过。3、回到本页面提交自己的邀请码。一个一品id限参与一次,任务编号：571053,一不小心01,约定94,"个人 |            
            新德工作室",,,,,,,
【网络接单】5元一个，简单注册,https://task.epwk.com/570658/,1408人,3人,¥500,abc3538,￥ 500,￥5,2018.01.06,1，注册地址    http://t.cn/RTCLxAM 2，完成网站的 新人任务 即可合格。 3，提交你 完成新人任务 的截图。每稿奖励5元。备注：本任务无需银行卡认证，也不强制要求提现。,任务编号：570658,mf159****6813,,,,,,,,,
【网络接单】新手任务，关注微信公众号做任务，长期赚钱,https://task.epwk.com/570611/,2838人,1人,¥600,鞠玉泉,￥ 600,,2018.01.05,"任务需求本任务请所有一品威客会员认真完成手机任务（要求：未越狱苹果手机一台）第一步：打开微信--通讯录--公众号--点击右上角（+）关注微信公众号: app2040，或者扫描下方附件中的二维码关注第二步：点击微信公众号中【开始任务】菜单点击【苹果试玩】里面有很多苹果试玩平台，任意3个平台做任务都满20元以上即可交稿领取额外佣金，长期赚钱交稿格式：对应3个平台ID界面截图，领取佣金（所下载平台必须从本任务公众号首次下载才可交稿，以前做过的平台不能再做了，可以挑没做过的平台下载）注：此任务无需实名和银行认证。,本任务请所有一品威客会员认真完成手机任务（要求：未越狱苹果手机一台）第一步：打开微信--通讯录--公众号--点击右上角（+）关注微信公众号: app2040，或者扫描下方附件中的二维码关注第二步：点击微信公众号中【开始任务】菜单点击【苹果试玩】里面有很多苹果试玩平台，任意3个平台做任务都满20元以上即可交稿领取额外佣金，长期赚钱交稿格式：对应3个平台ID界面截图，领取佣金（所下载平台必须从本任务公众号首次下载才可交稿，以前做过的平台不能再做了，可以挑没做过的平台下载）注：此任务无需实名和银行认证。",任务编号：570611,,,,,,,,,,
【网络接单】简单任务，每单10元，新手必做，可长期赚钱,https://task.epwk.com/570522/,4753人,5人,¥750,mf53c75c33df3a0,￥ 750,￥5,2018.01.05,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409 （复制此链接到浏览器打开）任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到福利任务或者试玩游戏等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：570522,qq2677797220,,,,,,,,,
【网络接单】需要录制10秒见证视频，我提供演讲稿超简单高佣金,https://task.epwk.com/570085/,1439人,1人,¥500,我是谁2022,￥ 500,￥25,2018.01.04,需要制作客户见证视频，只限女性，年龄18-55岁。用于宣传对客户进行引导。（用数码相机或者清晰点的手机即可，需要拍摄下来），然后自己则在视频内说见证内容：【例如：我学习了XXX的技术，现在怎么怎么样。关于寿司制作技术和手机维修技术，需要有实践操作平台】录制地点不限，视频时长10-15秒即可能做的加我QQ索 要稿件.不能做不要加。做好直接交稿，选择隐藏稿件。 QQ：974365424（请注名来自一品威客） 温馨提醒：任务征集期间，交易双方交流可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员。,任务编号：570085,对方正在吸猫,,,,,,,,,
【网络接单】5元1稿，新手任务，关注微信做任务,https://task.epwk.com/569740/,7780人,59人,¥750,相信爱情,￥ 750,￥420,2018.01.03,【1】拿出手机，搜索个人微信号：szqq995加关注。或下载下面微信二维码微信加关注         【2】关注后回复数字5，领取任务，并按要求完成任务（3分钟即可完成）【3】交稿：你注册得手机后5位数即可(至此5元到手）,任务编号：569740,o5a4c63bb0e851,o5a4c63bb0e851,o5a4c9a2de90b3,o5a4c9a2de90b3,青春气贯长虹,青春气贯长虹,o5a4c9dd164053,o5a4c9dd164053,不堪回首2448,不堪回首2448
【网络接单】微信任务 一单25元,https://task.epwk.com/567743/,4740人,15人,¥500,鬼之宫君,￥ 500,￥25,2017.12.27,"获取步骤：（25元/单）（日赚100）（长期可做）

1、微信-添加-公众号：shouzhuanmenlu 手赚门路（可扫附件二维码）

2、关注后，打开正下方菜单按照手机种类进入对应入口试玩APP。

3.可是玩任何APP，每个APP可以交一次稿（共计15个APP）。

4.试玩APP要求APP内收益大于15元即可交稿。

5.将截图上传（包括ID和收益）。

领取25元佣金。------------------------------------（不要求银行身份认证 ）（不收任何费用）",任务编号：567743,凯文设计,,,,,,,,,
【网络接单】游戏试玩，5元一稿,https://task.epwk.com/567851/,1025人,2人,¥500,baiypgfj,￥ 500,,2017.12.28,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/18803955任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：必须使用上面的链接才有效哦。,任务编号：567851,,,,,,,,,,
【网络接单】5元1稿，新手任务，关注微信做任务,https://task.epwk.com/567630/,8262人,74人,¥750,相信爱情,￥ 750,￥535,2017.12.27,【1】拿出手机，搜索个人微信号：szqq995 加关注。或下载下面微信二维码微信加关注         【2】关注后回复数字5，领取任务，并按要求完成任务（3分钟即可完成）【3】交稿：你注册得手机后5位数2次即可(至此10元到手）,任务编号：567630,齐行金00,齐行金00,开心贝贝,开心贝贝,o585a5e9f7173b,o585a5e9f7173b,o5a43074dadb2f,o5a43074dadb2f,余生111,余生111
【网络接单】关注微信公众号任务  一稿5元,https://task.epwk.com/567535/,701人,0人,¥500,o5a40b8358fba9,￥ 500,,2017.12.27,1、打开微信-通讯录-公众号-点击右上角（+）添加微信公众号“玩赚海口”，或者扫描附件二维码2、四个任务，前三个任务可以独立交稿，每稿5元共15元，第四个任务加微信yrs86175401领取奖励3、交稿方式回复任务各自软件的资产页和ID领取赏金！4、做完整个任务您将得到至少80（17稿费-63）元的奖励备注：此任务无需实名认证和银行认证。仅限新用户。如有疑问或者不会做请联系微信yrs86175401,任务编号：567535,,,,,,,,,,
【网络接单】5元一个，简单注册,https://task.epwk.com/566967/,815人,1人,¥500,abc3538,￥ 500,￥5,2017.12.25,1，注册地址    http://t.cn/RTCLxAM 2，完成网站的 新人任务 即可合格。 3，提交你 完成新人任务 的截图。每稿奖励5元。备注：本任务无需银行卡认证，也不强制要求提现。,任务编号：566967,mf187****4209,,,,,,,,,
【网络接单】新年必做的赚钱任务，10元一稿，电脑完成,https://task.epwk.com/566730/,7755人,26人,¥700,mf53c75c33df3a0,￥ 700,￥35,2017.12.25,这个任务适合喜欢玩游戏的朋友，不过你如果爱好玩彩票、喜欢理财的话也可以做。基本上就是一个游戏打开玩一会儿，网站就会给你钱。下面说下任务要求注册地址：http://www.juxiangyou.com/floor/recom/4272409任务要求：注册好以后，会直接进入网站的新手专区，按新手专区的引导赚取5万U币，或者你直接到试玩游戏和理财体验等版块赚取5万U币也可以，然后截图你5万U币的余额就可以（参照下方的截图示范），我审核通过后会付给你5元的赏金，你获得5万U币还可以在网站兑换成5元现金，至此10元到手。提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有三年很稳定，而且完全免费，无需你自己拿1分钱，注册以后直接送你1元到微信，能在此平台月入1万的人不在少数，请大家加油！,任务编号：566730,"个人 |            
            xyf5382378的商铺",o5a33778fa2df2,芳芳兔233,天野网络推广,燃烧的灬腿毛,o5a93c5c0ec588,jy15161027182,,,
【网络接单】12元1单，长期，微信小任务,https://task.epwk.com/566479/,6775人,50人,¥1932,mfdsfffewfg,￥ 1932,￥48,2017.12.24,获取步骤：（12元/单）（日赚150）（长期可做）1、微信-添加-公众号：easy3632、关注后，打开--自动弹出--的【专区入口】3、领取12元佣金 ：完成任意2个任务，即可； （特别说明：每单做完额外可再得20元奖励）注：（也可打开附件图片，微信扫码关注）注：（如果不会 ＋ 微信:  2217054636 ）    -------------------------------------------（不要求银行身份认证 ）（不收任何费用）,任务编号：566479,o5697146ac3bc6,mf159****0911,mf188****3592,o5697146ac3bc6,,,,,,
