标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【品牌起名】品牌名字征集,1750人,89人,¥200,圆满完成,o5f752800b74b4,1、品牌取名定位于 安化黑茶-自己家高山荒野原料，本人返乡创业)； 2、中文取名字数请保持在2-3个字，要求能注册； 3、品牌中文名称要大气，顺口容易记； 4、一定要确保取的名字在商标30类下可以注册； 5、要求必须是原创，不得是电脑取名；6、品牌及公司名均可注册的优选；,2020-10-01,2020.11.29,任务编号：896119,200.0,112.0,o5f407c7e3df28,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名,2966人,120人,¥500,圆满完成,o5f73de7d2ba6b,公司起名需求 1、所属行业:二手车销售2、经营范围:中高端二手车C端客户零售、同行批发（主要经营轻度瑕疵车、瑕疵车解释：发生过轻微事故，但不影响美观、安全、使用的车辆）3、公司宗旨：让客户购买有瑕疵但包全面质保的超低价二手车4、公司使命：通过有效的组织架构  建立完整的售后保障体系 让大家放心购买二手车5、公司愿景：建立全国瑕疵车批发平台6、公司口号：①金融信贷 只要想贷就能贷（现在买 未来梦 高端车享低月供）             ②售后保障 修车不花一分钱（未来行 现在言 修车不花一分钱）7、集团优势：汽车配件销售、汽车维修厂、救援公司等7家子公司形成完整的汽车后市场生态产业链，为其提供强大全面的售后保障）8、命名要求：（1）结合汽车行业特点；趣意、简洁、易懂、易记、醒目；带LOGO设计优先。（2）中、英文两种名称；可以注册公司的。（3）类似于：人人车，瓜子二手车，赶集网，58同城等。（4）附上创意说明（必须是唯一的， 在百度等搜索引擎检索不到）。知识产权说明: 1、 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改，组合和应用；设计者不得再向其他任何地方使用该设计作品;,2020-09-30,2020.10.12,任务编号：896040,500.0,161.0,o5f71fcd9f1b75,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】25类给现有的图形商标取名,1539人,67人,¥300,圆满完成,o5c78e91826fe8,"经营介绍：目标客户群体为主（80%）。产品追求时尚、年轻、美丽、个性、酷、无所畏惧、勇往直前。产品主要服务方向：男士短裤，拖鞋，袜子，内衣，毛巾等针织品。要求：     根据提供的图形,结合和围绕现有图形来取个有创意的中文+英文的名字,切记一定是中文+英文。     中文名要求响亮，易记，文雅，有创意但不失稳重;       英文名字由有意义的单词组合或者部分组合，比如 联想公司的 Lenovo。长度宜短不宜长。发音上口。     要求能中文、英文品牌注册，25类.4、请附上简要创意说明，并请保证原创；知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-09-29,2020.10.30,任务编号：895814,300.0,93.0,super517444,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】为品牌取英文名,1476人,29人,¥100,圆满完成,o5f57****56c59,为中文品牌【龈医生】征集一个英文商标，可以注册3，21，35类的商标取英文名字,2020-09-28,2020.11.07,任务编号：895546,100.0,29.0,仟仟™孤媒,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】个护美妆工具产品公司起名,1238人,37人,¥100,圆满完成,o5f57****56c59,1.日本 xx株式会社，日本公司名称，以个护美妆工具产品为主。请以这个框架取名，中间加字,2020-09-28,2020.10.09,任务编号：895544,100.0,39.0,非墨-传媒,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】给B2B商城取个大气的名字,5257人,293人,¥720,圆满完成,o58bb7dd01f1a5,网站描述：网站为B2B类的商城，商城主要展示销售一些原料和工业产品要求：1、 简单易记，不拗口           2、高端大气，易于传播记忆   希望能有类似风格的名字如：一些好听的网站名：：西域网、河姆渡网，，木木西里，， 一呼百应  ，，摩贝 ，阿拉丁，，阿里巴巴,2020-09-27,2020.12.28,任务编号：895245,720.0,391.0,极点科技,企业,三品,45分,,,服务定制,"￥10
            /起",分销直销软件定制,"￥10000
            /起",海报设计,"￥50
            /起",微信开发,"￥3000
            /起",小程序定制,"￥8000
            /起",logo设计500起,"￥500
            /起",服务器租用,"￥200
            /起",网站开发,"￥5000
            /起",,,品牌起名
【店铺/网店起名】男装店铺起名,3080人,147人,¥360,圆满完成,yss0777,高端男装名品集合店，简单好记，不要太普通，要能注册35类商标2字、3字、4字个人比较喜欢类似：龟TO生活，这样的类型也不错，,2020-09-23,2021.01.25,任务编号：894601,360.0,186.0,o5f657c3073e39,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】眼镜品牌名和眼镜店铺称征集,1408人,73人,¥200,圆满完成,k8585****85,"眼镜品牌名称征集要求：1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-09-25,2020.11.26,任务编号：895049,200.0,89.0,茜仟,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【宝宝起名】鼠年女宝取名征集！！,3481人,190人,¥300,圆满完成,o5f6c****6437a,本人姓庞，出生日期：1993年8月4日19时40分    妻子姓徐，出生日期：1993年5月25日5时20分   女宝宝剖腹产定到2020年9月26日17时到19时。希望各路大师帮忙起名！  具体要求：                    1.可以结合宝宝生辰八字来取名                    2.最好是三个字，四个字也可以看情况，如果意义特别好也可以                    3.名字音韵好听，有一定涵义，且较高辨识度，重复率低,2020-09-24,2020.10.18,任务编号：894845,300.0,232.0,豙踽魁,工作室,九品,39分,,,室内设计,1,,,,,,,,,,,,,,,,,宝宝起名
【品牌起名】公众号取名,1652人,57人,¥100,圆满完成,yfx199177,"我们开发的平台是一个校园一站式IT服务平台，取名要求:1、突出校园群体特点，2、突出IT综合服务特点,3、微信公众号没有重名",2020-09-24,2020.10.05,任务编号：894623,100.0,62.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公司起名字,2228人,115人,¥200,圆满完成,o586c648b62c9e,公司主营业务平面广告设计、拍摄、传媒、空间名字不限形式可以动物为主，可以英文。欢迎大家参与，请注明名字简介。,2020-09-22,2020.10.20,任务编号：894286,200.0,139.0,o5b681e026144b,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【宝宝起名】9月14日喜得爱子取名,1939人,73人,¥200,圆满完成,一墙红杏,基本情况：本人姓李，妻子姓周，公历2020年9月14日19点44分，喜得次子，囿于自身才识浅薄，今特在此设标立注，恳请四方有缘高人不吝赐子好名，以助其平安康乐，幸福一生。  具体要求：                    1.取四字名（格式如：李 x x x 或 李卓 x x）；                    2.用姓名学分析说明孩子八字命格等参数，并作为起名依据；                    3.名字音韵好听，有一定涵义，且较高辨识度，令人耳目一新；,2020-09-21,2020.10.31,任务编号：894103,200.0,85.0,千灵 取名+logo设计,,,,,,,,,,,,,,,,,,,,,,,,宝宝起名
【品牌起名】农副产品商标起名,2625人,110人,¥360,圆满完成,进击的传奇兄,"农副产品名称征集，本公司位于湖北宜昌。经营介绍：主营土家族农副产品，打造绿色健康、原生态。产品主要两类类：1、腊肉腌制品、干货等；2、原生态蔬菜及初级农产品要求：1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册商标的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-09-20,2020.10.22,任务编号：893846,360.0,149.0,yeguike,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】智能语音鼠标、语音助手类产品品牌起名，2~3个字即可,1423人,78人,¥100,圆满完成,o5f61e1d13a78c,1、名称最好不要超过4个中文2、与电脑的语音鼠标、语音助手、电脑周边产品相关3、简单、易写、好记、能带英文更佳4、用某一事物、或者是某一动物均可，或带科技感意义也可，如举例：轻帆、云鹿、虎猫、狼蛛、乐豚、聆听类型商标5、需可注册商标的国家商标局检索官网http://wcjs.sbj.cnipa.gov.cn/txnT01.do,2020-09-18,2020.10.31,任务编号：893642,100.0,86.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】面条店取名,1778人,104人,¥100,圆满完成,o5f549de56c5f6,"面条店取名经营介绍：是一家面条店，想要给这家店起一个名字，让人看到就知道是面条店要求：1、名称响亮，易记 2、有创意，并可注册商标 3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2020-09-17,2020.11.30,任务编号：893317,100.0,115.0,浅笑浮生,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】好读、好记的计算机互联网公司名称,1710人,83人,¥300,圆满完成,o5f6305dd9f03b,1、名称最好不要超过4个中文2、与计算机程序开发、网络程序开发、运营相关3、简单、易写、好记4、可参考阿里、腾讯、网易这些类型公司,2020-09-17,2020.11.30,任务编号：893260,300.0,107.0,壹品伯爵设计工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】互联网公司名称，名称2-4个字即可,1788人,96人,¥500,圆满完成,申0130,"主要业务方向电商互联网，全行业，全品类具体要求1.名称通俗易懂、朗朗上口，体现互联网特点：便于记忆、引人注意，易激发消费者欲望。2.名称2-4个字最佳；3.要求能工商注册，商品名注册，要有可注册的com域名。4.附上创意说明。名称参考京东，阿里巴巴，淘宝，天猫，快狗，芒果等。知识产权说明1. 所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2. 标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2020-09-16,2020.09.28,任务编号：892871,500.0,125.0,o587f595686004,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】教育辅导平台起名,1834人,106人,¥100,圆满完成,mf137****2152,1、以英语辅导为主，后续会加入语文。2、起名要求：贴合内容，简单好记，中英文均可。3、可参考的品牌名称：新东方、学而思、跟谁学、猿辅导、精锐、学大、英孚、51talk、流利说、VIPKID等等。,2020-09-16,2020.11.06,任务编号：892841,100.0,114.0,鑫晨设计室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【网店取名】装饰公司取名,1834人,91人,¥200,圆满完成,Hangorgor,主要做夜场装修，酒吧KTV，后期会有酒店洗脚房业务。要求名字能和业务贴切，表现出品质。字数4字以内，可以通过工商注册投稿者要阐述名字的寓意,2020-09-15,2020.12.31,任务编号：892582,200.0,102.0,刘秋雨,,,,,,,,,,,,,,,,,,,,,,,,网店取名
【宣传策划】公司推广软文写作,1634人,11人,¥100,圆满完成,请多喝烫水,我是一家可以和各大网红对接商家直播带货的公司，想发展一下这个业务，写一篇软文去宣传。目的是可以让有需求的商家看到就找我的那种。篇幅不用太长，200-300字就可以。可以介绍一下直播带货的优势及热度然后带入我们的业务。,2020-09-14,2020.09.28,任务编号：892242,100.0,12.0,南焱,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
