标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【广告策划】征集“秭归脐橙”广告语     秭读音为zi,https://task.epwk.com/820911/,5728人,164人,"¥2,000",o5a081300ecd66,￥ 2000,￥ 2000,2019.12.11,征集“秭归脐橙”广告语，不超过十六个字，能突出体现出秭归脐橙地理人文、生态健康、品种丰富、品质优良的一个或多个特点。秭归脐橙广告语应征作品应主题鲜明、创意新颖、寓意深刻、内涵积极。能够反映秭归文化底蕴和秭归脐橙的特点，易于传播，具有广泛适用性。“后皇嘉树，橘徕服兮。受命不迁，生南国兮……”，伟大爱国诗人屈原的《橘颂》诗篇，满怀对故乡秭归和故乡盛产柑橘的热爱。秭归位于长江三峡西陵峡段，三峡大坝所在地。峡江独特的河谷暖冬气候，富含矿物质的红砂岩壤，为脐橙营造了良好的生长环境，是我国最适宜种植脐橙的地区。秭归是世界甜橙发源地，这里汇聚了丰富的脐橙基因库，春有红橙、伦晚，夏有夏橙，秋有早红脐橙，冬有纽荷尔，是世界上唯一能实现鲜橙全年上市的产区。优异的生态环境造就了秭归脐橙旺盛的生命力和优秀的品质，脐橙果实个大色艳，橙香味浓，鲜美多汁，富含维C和多种营养物质，堪称人体健康活力之源！全县种植面积已达40万亩，产量65万吨，它是秭归人民的支柱产业，是秭归人民的幸福果实。,任务编号：820911,虎三,o5df0817c2c7ad
【宣传策划】征求一副有含义春 节的对 联 词,https://task.epwk.com/819651/,2106人,28人,¥100,cngygy,￥ 100,￥ 100,2019.12.08,"企业征求一副对， 联 ,请有创意者积极投标藏 头 词 对 联写 创 意  新  春  新 年 喜庆  对  联7-9字  对 联 加 横 批1.内容带有需   藏头  带，龙，翔，两个字  做房地产的     如果含有以下词汇 左侧 有东 溪湿地公司，右侧 南湖公园  ，想想多2.内容带有需   藏头  带，国,  锋 两个字  是国，锋，练，字，   主要是培训行业，需要帮我多想想共有二副 创意",任务编号：819651,心悦设计,左也
【品牌起名】蔬菜商标起名,https://task.epwk.com/819418/,2282人,152人,¥330,o592a63a3449c4,￥ 330,￥ 330,2019.12.07,给小包装蔬菜（透明塑料袋包装的各类不同蔬菜）注册个商标总体2-3个中文字（或数字）要求可以注册简单易记，体现绿色，天然，要可以注册的哦 例如：大自然，大绿，原野， 当然 简单的，通俗的估计都注册不了的。,任务编号：819418,类似芥末,mtx521
【公司起名】上海某某农业有限公司取名,https://task.epwk.com/819415/,2020人,105人,¥350,o592a63a3449c4,￥ 350,￥ 350,2019.12.07,上海某某农业有限公司取名，要求：符合农业特点，可以注册，简单易懂通俗，不要太繁大多数人不认可的字。 大多数简单易懂的都注册不了的哦,任务编号：819415,秒笔生花,hhh1130
【品牌起名】为牛排餐厅命名/平价西餐厅命名/欢乐餐厅命名,https://task.epwk.com/817704/,3600人,162人,¥500,ZebelHu,￥ 500,￥ 500,2019.12.02,本次征名为牛排餐厅命名，目的是打造一家全新的牛排餐厅品牌。为大众带去西式的餐饮。食材健康，消费平价。餐厅定位：大众消费的西餐厅，人均50元左右；餐厅受众：年轻女性及小孩；全家聚餐；餐厅选址：三四线城市。命名要求：1、需要朗朗上口、便于记忆的名字；2、最好中英文匹配；3、符合餐厅命名，有良好寓意最好；4、须为43类、35类、29类均可注册；5、不接受生僻字。附件为曾用名参考。,任务编号：817704,七斗创意,鲸点子设计
【品牌起名】品牌名称征集，一款固体饮料食品（灵芝、蜂王浆、蜂胶。）,https://task.epwk.com/816761/,3678人,243人,"¥1,000",edric1314,￥ 1000,￥ 1000,2019.11.28,"描述：功效：提高免疫力（降血脂、降血糖、降血压、预防感冒等）1、产品的成分：灵芝、蜂王浆、蜂胶。2、产品属性：固体粉剂，植物饮料3、名称响亮，易记，有创意，但不失稳重;3、2-3个字，其中一个字必须带“蜂”字，可注册商标4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：816761,o5dc4cde218c54,mf183****7259
【公司起名】体育公司要求起名并且想配套的口号,https://task.epwk.com/813287/,1819人,99人,¥300,mf137****3388,￥ 300,￥ 300,2019.11.18,想一个体育公司名字   要求：（1）2个字，需要带一个汇字，例如：X汇体育（这个字必须要跟体育有关，读起来有一定寓意的） 目前旗下注册的公司有：盛娱星汇，      口号：盛娱乐，星汇聚众汇科技，      口号：众聚力，汇百川品汇文化，      口号：品传承，汇众萃星汇教育，      口号：星璀璨，育不凡起的公司名字和口号要带有一定的寓意，让人一看就知道跟上面的公司同属一系列的,任务编号：813287,一品专家,三边形意创品牌
【公司起名】公司品牌起名,https://task.epwk.com/813240/,1192人,113人,¥200,o5c31****67f77,￥ 200,￥ 200,2019.11.17,公司主营新媒体运营，电商运营，小程序商城运营。1、公司字号两到四个字，顺口好记，有好的寓意。2、首选以动物或植物（包含蔬菜水果谷物）起名字，可以适当变换其中的一两个文字，组成新的名称。如天猫、菜鸟、豆瓣、豌豆荚、飞猪、途牛、瓜子、花椒等。3、建议名称确定后百度搜索一下，看看是否有重复的品牌公司。为了避免复制抄袭，投稿请设置加密，设置仅雇主可见,任务编号：813240,云影碧落,勤劳多思
【宣传策划】征求一副有含义春 节的对 联 词,https://task.epwk.com/812188/,2026人,32人,¥100,cngygy,￥ 100,￥ 100,2019.11.13,"企业征求一副对， 联 ,请有创意者积极投标藏 头 词 对 联写 创 意  新  春    对  联7-9字  对 联 加 横 批内容带有需  要 新 年 喜庆  ,为 “欧 马 可” 藏 头 词最 好 是 能 关 于 运  输 或 车 类 的 意 义",任务编号：812188,mtx521,哈尔滨维挚文化传媒有限公司
【品牌起名】为一款新品瓷砖取名,https://task.epwk.com/812059/,2159人,112人,¥100,o5dc9154b98322,￥ 100,￥ 100,2019.11.13,产品类型：瓷砖  要求：1、名称最好是3个字（可参考一些知名的瓷砖品牌产品的名称）2、名称易记，大气，有创意但不失稳重；3、名称必须可注册商标；4、附上创意说明。,任务编号：812059,见证奇迹,li1774528561的店铺
【品牌起名】购物平台起名,https://task.epwk.com/811695/,4988人,224人,¥200,jxjjs,￥ 200,￥ 200,2019.11.12,一个综合性购物网站起名！要有点创意，多多参考有点名气的购物网站的名字，但是不可以用他们的字，要有深刻含义，三个字以内，最好是二个字。,任务编号：811695,o5dc9a497153cd,今天也没变成玩偶呢
【品牌起名】品牌名称（生物科技公司）征集,https://task.epwk.com/810727/,3718人,103人,"¥1,000",edric1314,￥ 1000,￥ 1000,2019.11.08,"品牌名称（生物科技公司）征集，本公司属于中外合资企业。经营介绍： 从事科技领域内的技术开发、技术咨询、技术转让及技术服务；营养、特殊食品（保健食品）、其他食品、压片糖果、胶基糖果（口香糖）、饮料酒、果酒及配制酒、软饮料、的生产、加工及销售；香水和化妆品、其他日用品的批发服务；从事货物进出口及技术进出口业务；从事新产品、新工艺、新技术领域的开发及服务；食品代加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动)要求：1、举例说明：汤臣倍健品牌既是公司名称也是产品，品牌名称（汤臣倍健健力多）；既能用于公司名称也可用于品牌名称；2、名称响亮，易记，有创意、突出国际化，外资方为英国，但不失稳重;(必需可以注册公司的)3、最好3-4个字，有中、英文两种名称，并可注册商标4、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：810727,o5dbb8e8286bb6,灵感创意设计
【广告策划】白酒广告语征集,https://task.epwk.com/810480/,3510人,174人,¥500,o5a1dff4a1e123,￥ 500,￥ 500,2019.11.07,白酒品牌名称：赢政。广告词在十个字左右，耳熟能详，易记不忘。,任务编号：810480,r1083898677,甲子设计
【公司起名】生物科技公司（中外合资）取名,https://task.epwk.com/808246/,4344人,106人,"¥1,000",edric1314,￥ 1000,￥ 1000,2019.11.01,"生物科技公司名称征集，本公司属于中外合资企业。经营介绍： 从事科技领域内的技术开发、技术咨询、技术转让及技术服务；营养、特殊食品（保健食品）、其他食品、压片糖果、胶基糖果（口香糖）、饮料酒、果酒及配制酒、软饮料、的生产、加工及销售；香水和化妆品、其他日用品的批发服务；从事货物进出口及技术进出口业务；从事新产品、新工艺、新技术领域的开发及服务；食品代加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动)要求：1、名称响亮，易记，文雅，有创意、突出国际化，外资方为英国，但不失稳重;(必需可以注册公司的)2、最好是四个字，有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：808246,聚贤庄,书澈广告
【品牌起名】同仁堂   系列品牌取名,https://task.epwk.com/808177/,2139人,94人,¥300,mf186****9688,￥ 300,￥ 300,2019.10.31,品牌背书：同仁堂系列名字：待选     生产单位：北京同仁堂股份有限公司同仁堂药酒厂酒精度数：38度,任务编号：808177,品一人生,一品专家
